behaviour_canon,status,cv_f1_mean,cv_f1_std,oof_best_f1,variant,cohort,best_thresh,min_bout,max_gap,n_features,n_train_sessions,chosen_reason,path
Facial_grooming,KEEP,0.8997053331023919,0.03791370137248125,0.9944801610494188,allfeatures,THC_Withdrawal,0.85,15.0,0.0,nan,7.0,best of 5 variants (F1=0.900),E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_Facial_grooming_AllFeatures.pkl
Left_licking,KEEP,0.906255317369946,0.026170715825143475,nan,default,THC_Withdrawal,0.5299999999999998,3.0,5.0,375.0,3.0,best of 4 variants (F1=0.906),E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_Left_licking.pkl
Scratching,KEEP,0.9521558881387115,0.003379022993982275,0.9661946094106898,allfeatures,Rim_2510,0.8600000000000001,1.0,0.0,600.0,5.0,best of 16 variants (F1=0.952),E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\Classifiers\PixelPaws_Scratching_AllFeatures_20260429_153755.pkl
body_grooming,RETRAIN,0.765433710843052,0.06506974696624734,0.999603827902841,allfeatures,SNLT,0.85,2.0,0.0,nan,7.0,best of 2 variants (F1=0.765),E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_body_grooming_AllFeatures.pkl
rearing,KEEP,0.8548707963665892,0.027791606268418898,0.9999631499428824,allfeatures,THC_Withdrawal,0.54,1.0,0.0,nan,7.0,best of 5 variants (F1=0.855),E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_rearing_AllFeatures.pkl
still,RETRAIN,0.7672762919805778,0.08295049277729712,0.9397056316417571,allfeatures,THC_Withdrawal,0.58,2.0,10.0,nan,7.0,best of 5 variants (F1=0.767),E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_still_AllFeatures.pkl
walking,RETRAIN,0.7828248759053207,0.04648557973554943,0.9937596540006178,allfeatures,THC_Withdrawal,0.56,2.0,4.0,nan,7.0,best of 5 variants (F1=0.783),E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_walking_AllFeatures.pkl
