behaviour,behaviour_canon,variant,cohort,size_mb,cv_f1_mean,cv_f1_std,cv_f1_per_fold,oof_best_f1,best_thresh,min_bout,min_after_bout,max_gap,n_features,n_train_sessions,has_optuna,was_pruned,path,raw_keys
rearing,rearing,allfeatures,Rim_DoseResp,1.85,0.8548707963665892,0.027791606268418898,0.878;0.889;0.836;0.859;0.813,0.9999631499428824,0.54,1.0,0.0,0.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260515_Rim_DoseResp\classifiers\PixelPaws_rearing_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Scratching,Scratching,default,Rim_DoseResp,1.75,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,40.0,5.0,False,False,E:\RSVIDS\Blackbox\260515_Rim_DoseResp\classifiers\PixelPaws_Scratching.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
Scratching,Scratching,allfeatures,Rim_DoseResp,1.79,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,nan,5.0,False,False,E:\RSVIDS\Blackbox\260515_Rim_DoseResp\classifiers\PixelPaws_Scratching_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
still,still,allfeatures,Rim_DoseResp,0.6,0.7672762919805778,0.08295049277729712,0.798;0.778;0.801;0.608;0.850,0.9397056316417571,0.58,2.0,0.0,10.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260515_Rim_DoseResp\classifiers\PixelPaws_still_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
walking,walking,allfeatures,Rim_DoseResp,3.75,0.7828248759053207,0.04648557973554943,0.713;0.833;0.750;0.789;0.830,0.9937596540006178,0.56,2.0,0.0,4.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260515_Rim_DoseResp\classifiers\PixelPaws_walking_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Scratching,Scratching,default,Rim_2510,5.89,0.6406328738754843,0.07550313942800677,0.718;0.523;0.721;0.595;0.647,0.722315945745327,0.5,20.0,0.0,0.0,nan,5.0,False,False,E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\Classifiers\PixelPaws_Scratching.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,thresh_audit_note,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Scratching,Scratching,allfeatures,Rim_2510,3.63,0.9521558881387115,0.003379022993982275,0.953;0.952;0.948;0.958;0.951,0.9661946094106898,0.8600000000000001,1.0,0.0,0.0,600.0,5.0,False,False,E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\Classifiers\PixelPaws_Scratching_AllFeatures_20260429_153755.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features,use_multiscale_features"
Scratching,Scratching,pruned,Rim_2510,3.57,0.9521558881387115,0.003379022993982275,0.953;0.952;0.948;0.958;0.951,0.9661946094106898,0.8600000000000001,1.0,0.0,0.0,120.0,5.0,False,False,E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\Classifiers\PixelPaws_Scratching_pruned_120_20260429_153755.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features,use_multiscale_features"
Scratching,Scratching,default,Rim_2510,3.49,0.4319699990275286,0.22667429686384183,0.281;0.624;0.061;0.649;0.544,0.5170897461523086,0.8,1.0,1.0,15.0,375.0,5.0,False,False,E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\PixelPaws_Classifiers\HomeRig\PixelPaws_Scratching.pkl,"Behavior_type,best_thresh,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
Scratching,Scratching,allfeatures_honest,Rim_2510,11.33,0.7308294395821922,0.10341040246612974,0.765;0.774;0.811;0.777;0.526,0.7802865501462756,0.2,8.0,0.0,2.0,nan,5.0,False,False,E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\Classifiers\PixelPaws_Scratching_honest_20260521_160523\PixelPaws_Scratching_AllFeatures_honest_20260521_160523.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,fold_models,hmm_log_prior,hmm_log_trans,honest_training_note,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,prob_calibrator,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features,use_multiscale_features"
Scratching,Scratching,pruned_honest,Rim_2510,11.4,0.7520363622949136,0.08787648198641067,0.784;0.793;0.829;0.773;0.580,0.80219700802197,0.125,15.0,0.0,6.0,120.0,5.0,False,False,E:\RSVIDS\Blackbox\2510_Blackbox_Rimonabant\Blackbox_videos-selected\Classifiers\PixelPaws_Scratching_honest_20260521_160523\PixelPaws_Scratching_pruned_120_honest_20260521_160523.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,fold_models,hmm_log_prior,hmm_log_trans,honest_training_note,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,prob_calibrator,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features,use_multiscale_features"
Scratching,Scratching,default,ChR2_stim,1.75,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,40.0,5.0,False,False,E:\RSVIDS\Blackbox\AM_ChR2_stim_SPB_analysis\classifiers\PixelPaws_Scratching.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
Scratching,Scratching,allfeatures,ChR2_stim,1.79,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,nan,5.0,False,False,E:\RSVIDS\Blackbox\AM_ChR2_stim_SPB_analysis\classifiers\PixelPaws_Scratching_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
